name,brand,variant,power_badge,status_official,location,shop_name,price,rating,sold,url_shop,url_image
PS4 Pro 1TB CFW Hen Full Game,Sony,PlayStation,official store badge,True,Jakarta Pusat,Butikgames,3900000.0,5.0,29.0,https://www.tokopedia.com/butikgames/ps4-pro-1tb-cfw-hen-full-game?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/29/48d7b899-7b68-4330-b38b-558f4f84f838.jpg.webp?ect=3g
PS3 Playstation 3 Slim CFW Hen Full Games 120/160/250/320/500 GB/1 TB,Sony,PlayStation,official store badge,True,Surabaya,Kyuuden Store,1899000.0,5.0,65.0,https://www.tokopedia.com/kyuudenmusic/ps3-playstation-3-slim-cfw-hen-full-games-120-160-250-320-500-gb-1-tb-seri-20-120-gb-1-stik?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/2/16/f8297218-447f-41e1-9883-a4471beaf826.png.webp?ect=3g
PS5 PS 5 Sony Playstation Digital Edition Standar Disc Versi Version,Sony,PlayStation,official store badge,True,Malang,supergame malang,7290000.0,5.0,232.0,https://www.tokopedia.com/supergame-malang/ps5-ps-5-sony-playstation-digital-edition-standar-disc-versi-version-slim-digital-im-e631e?extParam=cmp%3D1%26ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/21/84f51172-c94c-4ed8-ac9b-14deda7fb844.jpg.webp?ect=3g
HDD PS2 160GB - Hardisk Eksternal PS2 - Support Semua PS2 Full Game,Sony,PlayStation,official store badge,True,Jakarta Utara,Matahari Game,108500.0,5.0,1420.0,https://www.tokopedia.com/mataharigame/hdd-ps2-160gb-hardisk-eksternal-ps2-support-semua-ps2-full-game-hdd-120gb-tanpa-mcbooting?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/4/ce244dbb-5c25-4557-9c65-4d5c5ba4802a.jpg.webp?ect=3g
PS4 PS 4 PLAYSTATION 4 PS4 FAT HEN FREE GAMES OFFLINE 500GB/1TB,Sony,PlayStation,official store badge,True,Bandung,Money Gamepedia,2650000.0,5.0,58.0,https://www.tokopedia.com/moneygamepedia/ps4-ps-4-playstation-4-ps4-fat-hen-free-games-offline-500gb-1tb-fat-500-11-00-tanpa-stik-68bee?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/9/10/b11a6a34-ce0e-4e82-ad71-e7c4cb8757cf.png.webp?ect=3g
PS3 PS 3 PLAYSTATION 3 SLIM 500GB OFW/ + STIK + FULL GAME (BISA MILIH),Sony,PlayStation,official store badge,True,Jakarta Barat,Victory Game,1699999.0,5.0,4162.0,https://www.tokopedia.com/victory-88/ps3-ps-3-playstation-3-slim-500gb-ofw-stik-full-game-bisa-milih-ps3-unit-saja-9b223?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/30/8e052207-76f4-483c-b58f-0fe7343f03f3.jpg.webp?ect=3g
Sony PS5 PS 5 Slim Playstation 5 Slim Console Konsol,Sony,PlayStation,official store badge,True,Jakarta Pusat,Butikgames,8599000.0,5.0,53.0,https://www.tokopedia.com/butikgames/sony-ps5-ps-5-slim-playstation-5-slim-console-konsol-disc-jpn-game-permanen-ee372?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/4/8bfe1e24-ab2b-4cd7-91fc-e3b449a6fde7.jpg.webp?ect=3g
Playstation3 PS3 Slim Void Asli Cfw 500GB - Free 1 Tahun Garansi,Sony,PlayStation,official store badge,True,Jakarta Utara,Matahari Game,498000.0,5.0,375.0,https://www.tokopedia.com/mataharigame/playstation3-ps3-slim-void-asli-cfw-500gb-free-1-tahun-garansi-casing-aja-tanpa-stik?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/26/47e16ed7-8e5c-4b3a-aae8-ddbc0e1ada61.jpg.webp?ect=3g
Console PS5 Slim Model / PS5 Slim Console Disc & Digital Version,Sony,PlayStation,official store badge,True,Jakarta Selatan,Rocket games,7199000.0,5.0,114.0,https://www.tokopedia.com/rocketgames/console-ps5-slim-model-ps5-slim-console-disc-digital-version-digtal-jap-1stk-e5820?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/30/b3cacea3-9b9d-4954-b250-c1dbb3de3442.jpg.webp?ect=3g
Sony PS3 Superslim 500GB Super Slim 500 GB Full Game OFW,Sony,PlayStation,official store badge,True,Jakarta Pusat,Butikgames,1900000.0,5.0,1321.0,https://www.tokopedia.com/butikgames/sony-ps3-superslim-500gb-super-slim-500-gb-full-game-ofw-160gb-2-stick?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/product-1/2019/1/9/839036/839036_6ece41a0-d4f6-44cf-b875-99424b7471cb_816_904.jpg.webp?ect=3g
PS3 FAT 500GB + 2 STICK WIRLESS (FULL GAME) -80GB+2STICK (fullset),Sony,PlayStation,official store badge,True,Bekasi,STAR GAME BEKASI,1000000.0,5.0,292.0,https://www.tokopedia.com/stargame88/ps3-fat-500gb-2-stick-wirless-full-game-80gb-2stick-fullset-40gb?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/4/14/7a4cf7b8-557d-43e4-ba24-a0c0f2115b47.jpg.webp?ect=3g
PS4 Fat 500GB Original Playstation PS 4 Garansi Panjang Free Games,Sony,PlayStation,official store badge,True,Jakarta Selatan,LE Game Shop,1699999.0,5.0,727.0,https://www.tokopedia.com/legameshop/ps4-fat-500gb-original-playstation-ps-4-garansi-panjang-free-games-motherboard-hitam-non-pes21?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/9/3/6e1aaa70-1b5a-42e3-ad82-932671e7c9ed.png.webp?ect=3g
"SONY PSP 3000 CFW 6.61 FULLSET FULL GAME PSP,PS1,SEGA,SNES,NES,GBA,GBC",Sony,PlayStation,official store badge,True,Bekasi,The Public Store,1300000.0,5.0,453.0,https://www.tokopedia.com/thepublicstore/sony-psp-3000-cfw-6-61-fullset-full-game-psp-ps1-sega-snes-nes-gba-gbc-32gb-2a4f1?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/product-1/2020/8/3/66678687/66678687_d1d14dda-8338-4ec8-ade1-165cf4c74cc9_2048_2048.webp?ect=3g
