name,brand,variant,power_badge,status_official,location,shop_name,price,rating,sold,url_shop,url_image
PS5 Mortal Kombat 1 / MK 1 (Asia/English),Sony,PlayStation,official store badge,True,Jakarta Utara,PS Enterprise Official,499000.0,5.0,32.0,https://www.tokopedia.com/psenterprise/ps5-mortal-kombat-1-mk-1-asia-english-euro-7992f?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/23/9df0ab76-66f7-4b6b-b30b-44a13d4eb3c5.jpg.webp?ect=3g
PS4 Tekken 7 (English),Sony,PlayStation,official store badge,True,Jakarta Utara,PS Enterprise Official,259000.0,5.0,169.0,https://www.tokopedia.com/psenterprise/ps4-tekken-7-english?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/25/4f08812e-c667-4c4a-a8c1-364633489027.jpg.webp?ect=3g
PS4 GTA V / GTAV Premium Online Edition (Reg ALL/1/USA),Sony,PlayStation,official store badge,True,Jakarta Utara,Suyanto//Liberty Game,269000.0,5.0,203.0,https://www.tokopedia.com/libertygame/ps4-gta-v-gtav-premium-online-edition-reg-all-1-usa-region-2?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/attachment/2019/9/20/156896782639478/156896782639478_aef02c4e-f55c-47b9-8e2c-2d0b91180bdc.png.webp?ect=3g
PROMO!! PS4 EA Sports FC 24 / PS 4 EA FC24 / EA FC 24 / FOOTBALL,Sony,PlayStation,official store badge,True,Jakarta Barat,souvigameshop,474000.0,5.0,32.0,https://www.tokopedia.com/souvigameshop/promo-ps4-ea-sports-fc-24-ps-4-ea-fc24-ea-fc-24-football-reg-3-asia-eng-74e29?extParam=ivf%3Dtrue,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/12/21/19c2e3cc-68d0-48e7-a30c-8ce3b14da46f.png.webp?ect=3g
Update Patch Option File PES 2021 PS4 2023-2024,Sony,PlayStation,official store badge,True,Kab. Tangerang,mnrlqwy.co,60000.0,5.0,183.0,https://www.tokopedia.com/mnrlqwy/update-patch-option-file-pes-2021-ps4-2023-2024-link-download-b61cc?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/9/7/e2c19423-4128-477b-a50d-82f1c09a082c.jpg.webp?ect=3g
PS5 Marvel Spider-Man 2 / Spiderman 2 / Spiderman2 / Spider Man 2,Sony,PlayStation,official store badge,True,Jakarta Utara,Suyanto//Liberty Game,299000.0,5.0,137.0,https://www.tokopedia.com/libertygame/ps5-marvel-spider-man-2-spiderman-2-spiderman2-spider-man-2-r2-digital-code-88028?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/20/0a3e8a34-0a5c-4c9c-be99-06af91b1f3f9.jpg.webp?ect=3g
PS4 EA SPORTS FC 24 / FC24 / FIFA 2024 / FOOTBALL CLUB 24,Sony,PlayStation,official store badge,True,Jakarta Barat,gamebay,479000.0,5.0,236.0,https://www.tokopedia.com/gamebay/ps4-ea-sports-fc-24-fc24-fifa-2024-football-club-24-region-2-a7998?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/29/49fb3843-fd52-4fec-82cc-51510968e4fa.png.webp?ect=3g
PS5 Street Fighter 6 / Street Fighter VI / SF 6,Sony,PlayStation,official store badge,True,Jakarta Utara,GameHunter,556200.0,5.0,30.0,https://www.tokopedia.com/gamehunter/ps5-street-fighter-6-street-fighter-vi-sf-6-reg-2-c3dfa?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/12/2a2ce6cd-c733-4581-b6e2-559bf525051e.jpg.webp?ect=3g
PS5 Final Fantasy VII Rebirth / FF7 Rebirth / Final Fantasy 7 Rebirth,Sony,PlayStation,official store badge,True,Jakarta Utara,GameHunter,822970.0,5.0,285.0,https://www.tokopedia.com/gamehunter/ps5-final-fantasy-vii-rebirth-ff7-rebirth-final-fantasy-7-rebirth-reg-cero-en-de8af?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/8/4/80c37ce6-b6f6-4f2a-8905-e1176b001855.jpg.webp?ect=3g
PS5 Cyberpunk 2077 Ultimate Edition,Sony,PlayStation,official store badge,True,Jakarta Utara,Suyanto//Liberty Game,675000.0,5.0,8.0,https://www.tokopedia.com/libertygame/ps5-cyberpunk-2077-ultimate-edition-r2-c9cbb?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/12/8/495621eb-f353-4d91-96ad-f82ccc54e680.jpg.webp?ect=3g
